Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Algeria,DZA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,30.41696677,24.51404166,18.334834,16.53575127,15.44905123,14.28277952,5.870285404,8.533187249,8.00223017,12.56891483,15.79697334,13.54176563,13.04522677,11.71643606,12.68652252,14.17748132,16.3135924,14.79013496,9.01756332,12.95566738,20.20389451,16.71977136,17.70370677,19.67863267,22.12697333,27.91411415,29.53439355,27.92670877,29.10864013
"Egypt, Arab Rep.",EGY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,31.69008218,27.70190882,20.31458553,19.56984222,19.79687637,18.12343355,7.795007387,12.03568013,11.02028815,13.89232624,16.94504047,11.76624411,11.12213027,9.87234454,7.897427621,7.509060734,8.40318333,6.099218176,3.428705219,5.191867758,6.472221606,5.170662733,5.905807044,7.506373711,9.494486314,11.85093121,11.72969341,10.78185883,12.45456777
Libya,LBY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,39.71218975,23.35443145,22.37472685,22.2666015,21.88360841,26.77645507,31.0343606,26.33751569,17.80867859,19.69784684,33.5852839,29.49148805,48.38229287,47.84216216,54.78695197,61.01717381,60.92957413,59.92928301,64.8164363
Morocco,MAR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.015441307,0.022806456,0.01578891,0.018157317,0.018335368,0.02438305,0.010158039,0.009358943,0.007344866,0.006568968,0.008633179,0.003895647,0.003580261,0.003293431,0.002121643,0.00130978,0.001483105,0.003562028,0.002083702,0.002953219,0.006312725,0.00389679,0.004820943,0.003518331,0.004476762,0.004020702,0.006236829,0.006488865,0.006164421
Tunisia,TUN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,15.66047347,13.86482072,11.17489396,11.63575093,11.42596023,10.80455814,4.849501013,5.889325337,4.643354751,6.563222892,6.45080503,4.20887816,3.891449022,3.351218373,2.667183289,2.427554478,2.738015061,2.13042895,1.302068366,1.927333126,3.229283531,2.341622323,2.362697508,2.1172573,2.608690668,3.792492236,4.107757572,5.51629478,5.935148436
